,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
85339,379,PVCCOM,PVC,,0.0,2,COMDTY,MCX,10.0
85340,229287,CRUDEOIL21JUL4800PE,CRUDEOIL,15JUL2021,480000.0,100,OPTFUT,MCX,10.0
85341,226016,GOLD21SEP47300PE,GOLD,24SEP2021,4730000.0,1,OPTFUT,MCX,50.0
85342,224844,SILVER21AUG66000PE,SILVER,25AUG2021,6600000.0,30,OPTFUT,MCX,50.0
85343,221895,GOLD21MAY51600CE,GOLD,26MAY2021,5160000.0,1,OPTFUT,MCX,50.0
85344,220869,GOLD21MAY48400CE,GOLD,26MAY2021,4840000.0,1,OPTFUT,MCX,50.0
85345,156,LMECOPPSPTCOM,LMECOPPSPT,,0.0,1000,COMDTY,MCX,5.0
85346,311,COTTONMEDCOM,COTTONMED,,0.0,250,COMDTY,MCX,100.0
85347,229261,CRUDEOIL21JUL4150PE,CRUDEOIL,15JUL2021,415000.0,100,OPTFUT,MCX,10.0
85348,221272,GOLD21MAY51300PE,GOLD,26MAY2021,5130000.0,1,OPTFUT,MCX,50.0
85349,220844,GOLD21MAY47100PE,GOLD,26MAY2021,4710000.0,1,OPTFUT,MCX,50.0
85350,228618,GOLDM21JUN45600PE,GOLDM,04JUN2021,4560000.0,100,OPTCOM,MCX,50.0
85351,222133,GOLD21MAY51800CE,GOLD,26MAY2021,5180000.0,1,OPTFUT,MCX,50.0
85352,229121,GOLD22MAR46200PE,GOLD,25MAR2022,4620000.0,1,OPTFUT,MCX,50.0
85353,228728,CRUDEOIL21JUN4550PE,CRUDEOIL,17JUN2021,455000.0,100,OPTFUT,MCX,10.0
85354,224962,GOLD21JUL47400PE,GOLD,27JUL2021,4740000.0,1,OPTFUT,MCX,50.0
85355,228419,GOLD21MAY42900PE,GOLD,26MAY2021,4290000.0,1,OPTFUT,MCX,50.0
85356,228828,COPPER21JUN630CE,COPPER,21JUN2021,63000.0,2500,OPTFUT,MCX,1.0
85357,226980,SILVER21NOV80250PE,SILVER,24NOV2021,8025000.0,30,OPTFUT,MCX,50.0
85358,229546,SILVER22FEB70750CE,SILVER,23FEB2022,7075000.0,30,OPTFUT,MCX,50.0
85359,229962,SILVER22APR83000CE,SILVER,26APR2022,8300000.0,30,OPTFUT,MCX,50.0
85360,226538,GOLD21NOV47600CE,GOLD,24NOV2021,4760000.0,1,OPTFUT,MCX,50.0
85361,223404,GOLD21MAY57900CE,GOLD,26MAY2021,5790000.0,1,OPTFUT,MCX,50.0
85362,228905,ZINC21JUL217.5CE,ZINC,21JUL2021,21750.0,5,OPTFUT,MCX,1.0
