,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
4136,22004,601OR22-SG,601OR22,,-1.0,100,,NSE,1.0
4137,18165,BPF01D1R-MF,BPF01D1R,,-1.0,1,,NSE,1.0
4138,4671,JSWISPL-EQ,JSWISPL,,-1.0,1,,NSE,5.0
4139,9179,ABSLFTSIRD-MF,ABSLFTSIRD,,-1.0,1,,NSE,1.0
4140,18908,PNBHOUSING-EQ,PNBHOUSING,,-1.0,1,,NSE,5.0
4141,7986,ECLFINANCE-NS,ECLFINANCE,,-1.0,1,,NSE,1.0
4142,12900,YESBANK-BL,YESBANK,,-1.0,1,,NSE,5.0
4143,34,ADORWELD-EQ,ADORWELD,,-1.0,1,,NSE,5.0
4144,17097,CROMPTON-BL,CROMPTON,,-1.0,1,,NSE,5.0
4145,13577,VOLTAMP-EQ,VOLTAMP,,-1.0,1,,NSE,5.0
4146,2085,MAHSCOOTER-EQ,MAHSCOOTER,,-1.0,1,,NSE,5.0
4147,173,673SK30-SG,673SK30,,-1.0,100,,NSE,1.0
4148,22224,729GA29A-SG,729GA29A,,-1.0,100,,NSE,1.0
4149,9161,DHANILOANS-N7,DHANILOANS,,-1.0,1,,NSE,1.0
4150,285,575AP24-SG,575AP24,,-1.0,100,,NSE,1.0
4151,2792,EASEMYTRIP-EQ,EASEMYTRIP,,-1.0,1,,NSE,5.0
4152,2545,715RJ31-SG,715RJ31,,-1.0,100,,NSE,1.0
4153,19916,DMART-BL,DMART,,-1.0,1,,NSE,5.0
4154,369,ROML-BL,ROML,,-1.0,1,,NSE,5.0
4155,4663,H1846D27DG-MF,H1846D27DG,,-1.0,1,,NSE,1.0
4156,10905,GENESYS-EQ,GENESYS,,-1.0,1,,NSE,5.0
4157,20914,672AP28-SG,672AP28,,-1.0,100,,NSE,1.0
4158,21478,UTINEXT50-EQ,UTINEXT50,,-1.0,1,,NSE,1.0
4159,21487,STEL-BL,STEL,,-1.0,1,,NSE,5.0
4160,25693,DSSL-BL,DSSL,,-1.0,1,,NSE,5.0
4161,9154,DHANILOANS-N5,DHANILOANS,,-1.0,1,,NSE,1.0
4162,2422,182D260821-TB,182D260821,,-1.0,100,,NSE,1.0
4163,2952,364D240322-TB,364D240322,,-1.0,100,,NSE,1.0
4164,8105,H1182D43RQ-MF,H1182D43RQ,,-1.0,1,,NSE,1.0
4165,4772,DIAPOWER-BZ,DIAPOWER,,-1.0,1,,NSE,5.0
4166,12637,NOIDATOLL-BL,NOIDATOLL,,-1.0,1,,NSE,5.0
4167,14701,SFMP23GD-MF,SFMP23GD,,-1.0,1,,NSE,1.0
4168,3979,ABSLFTQJDG-MF,ABSLFTQJDG,,-1.0,1,,NSE,1.0
4169,12652,ORIENTPPR-BL,ORIENTPPR,,-1.0,1,,NSE,5.0
4170,3548,D1DG-MF,D1DG,,-1.0,1,,NSE,1.0
4171,13673,ANSALHSG-EQ,ANSALHSG,,-1.0,1,,NSE,5.0
4172,2943,686PY34-SG,686PY34,,-1.0,100,,NSE,1.0
4173,11045,SATIA-EQ,SATIA,,-1.0,1,,NSE,5.0
4174,4605,HD110542DD-MF,HD110542DD,,-1.0,1,,NSE,1.0
4175,472,709WB40-SG,709WB40,,-1.0,100,,NSE,1.0
4176,3606,FMPS3FGR-MF,FMPS3FGR,,-1.0,1,,NSE,1.0
4177,22082,726UP29-SG,726UP29,,-1.0,100,,NSE,1.0
4178,1254,673TN40-SG,673TN40,,-1.0,100,,NSE,1.0
4179,1394,HINDUNILVR-EQ,HINDUNILVR,,-1.0,1,,NSE,5.0
4180,1247,GSFC-EQ,GSFC,,-1.0,1,,NSE,5.0
4181,17578,FISTIP2QDP-MF,FISTIP2QDP,,-1.0,1,,NSE,1.0
4182,14977,POWERGRID-EQ,POWERGRID,,-1.0,1,,NSE,5.0
4183,758,651KA30-SG,651KA30,,-1.0,100,,NSE,1.0
4184,38,685AP36-SG,685AP36,,-1.0,100,,NSE,1.0
4185,26013,JUNIOR,JUNIOR,,-1.0,-1,,NSE,-1.0
4186,26015,MINIFTY,NIFTY,,-1.0,-1,,NSE,-1.0
4187,7048,HESTERBIO-EQ,HESTERBIO,,-1.0,1,,NSE,5.0
4188,6769,SDFSC30GR-MF,SDFSC30GR,,-1.0,1,,NSE,1.0
4189,22120,715TN27-SG,715TN27,,-1.0,100,,NSE,1.0
4190,696,SRTRANSFIN-YK,SRTRANSFIN,,-1.0,1,,NSE,1.0
4191,11471,EXCELINDUS-EQ,EXCELINDUS,,-1.0,1,,NSE,5.0
4192,22188,765TS30-SG,765TS30,,-1.0,100,,NSE,1.0
4193,12304,JSLHISAR-EQ,JSLHISAR,,-1.0,1,,NSE,5.0
4194,20563,DOLLAR-BL,DOLLAR,,-1.0,1,,NSE,5.0
4195,9182,UTDAP31P08-MF,UTDAP31P08,,-1.0,1,,NSE,1.0
4196,18096,JUBLFOOD-EQ,JUBLFOOD,,-1.0,1,,NSE,5.0
4197,7421,ICICI1299-NC,ICICI1299,,-1.0,1,,NSE,1.0
4198,12806,SUZLON-BL,SUZLON,,-1.0,1,,NSE,5.0
4199,12574,VTL-BL,VTL,,-1.0,1,,NSE,5.0
4200,3850,ABSLFTQIRQ-MF,ABSLFTQIRQ,,-1.0,1,,NSE,1.0
4201,10397,JISLJALEQS-EQ,JISLJALEQS,,-1.0,1,,NSE,5.0
4202,12551,KSB-BL,KSB,,-1.0,1,,NSE,5.0
4203,18883,SJVN-EQ,SJVN,,-1.0,1,,NSE,5.0
4204,3442,INDIGRID-NG,INDIGRID,,-1.0,1,,NSE,1.0
4205,16872,TATACAPHSG-N9,TATACAPHSG,,-1.0,1,,NSE,1.0
4206,14788,SPARC-EQ,SPARC,,-1.0,1,,NSE,5.0
4207,12509,JBFIND-BL,JBFIND,,-1.0,1,,NSE,5.0
4208,316,705MZ35-SG,705MZ35,,-1.0,100,,NSE,1.0
4209,13285,M&MFIN-EQ,M&MFIN,,-1.0,1,,NSE,5.0
4210,14262,PGIL-BL,PGIL,,-1.0,1,,NSE,5.0
4211,2963,SAIL-EQ,SAIL,,-1.0,1,,NSE,5.0
4212,536,V10DD-MF,V10DD,,-1.0,1,,NSE,1.0
4213,4504,SDFSC22DR-MF,SDFSC22DR,,-1.0,1,,NSE,1.0
4214,11015,UTIDGR32P2-MF,UTIDGR32P2,,-1.0,1,,NSE,1.0
4215,4805,UTIDMP30P5-MF,UTIDMP30P5,,-1.0,1,,NSE,1.0
4216,602,ZODIAC-SM,ZODIAC,,-1.0,4000,,NSE,5.0
4217,18574,GNA-BL,GNA,,-1.0,1,,NSE,5.0
4218,24598,RUSHIL-BL,RUSHIL,,-1.0,1,,NSE,5.0
4219,7142,761GS2030-GS,761GS2030,,-1.0,1,,NSE,1.0
4220,857,DHAMPURSUG-EQ,DHAMPURSUG,,-1.0,1,,NSE,5.0
4221,2275,IRISDOREME-EQ,IRISDOREME,,-1.0,1,,NSE,5.0
4222,1253,67JK32-SG,67JK32,,-1.0,100,,NSE,1.0
4223,21831,TEXRAIL-BL,TEXRAIL,,-1.0,1,,NSE,5.0
4224,11236,JSL-EQ,JSL,,-1.0,1,,NSE,5.0
4225,155,568MH24-SG,568MH24,,-1.0,100,,NSE,1.0
4226,20922,648AP27-SG,648AP27,,-1.0,100,,NSE,1.0
4227,9502,UTRQP31P09-MF,UTRQP31P09,,-1.0,1,,NSE,1.0
4228,23528,UFIS2QPRP4-MF,UFIS2QPRP4,,-1.0,1,,NSE,1.0
4229,12457,AKZOINDIA-BL,AKZOINDIA,,-1.0,1,,NSE,5.0
4230,20113,GREENPOWER-BL,GREENPOWER,,-1.0,1,,NSE,5.0
4231,22438,68GS2060-GS,68GS2060,,-1.0,1,,NSE,1.0
4232,15242,BIRLAMONEY-BL,BIRLAMONEY,,-1.0,1,,NSE,5.0
4233,22269,646WB30-SG,646WB30,,-1.0,100,,NSE,1.0
4234,19968,HUDCO-ND,HUDCO,,-1.0,1,,NSE,1.0
4235,17272,SETFGOLD-EQ,SETFGOLD,,-1.0,1,,NSE,5.0
4236,1697,541GA25-SG,541GA25,,-1.0,100,,NSE,1.0
4237,9235,L&TFINANCE-NI,L&TFINANCE,,-1.0,1,,NSE,1.0
4238,17884,DBCORP-BL,DBCORP,,-1.0,1,,NSE,5.0
4239,3513,694AP37-SG,694AP37,,-1.0,100,,NSE,1.0
4240,21001,PSB-EQ,PSB,,-1.0,1,,NSE,5.0
4241,14912,KPRMILL-EQ,KPRMILL,,-1.0,1,,NSE,5.0
4242,3417,HONAUT-EQ,HONAUT,,-1.0,1,,NSE,5.0
4243,3275,TEMBO-EQ,TEMBO,,-1.0,1,,NSE,5.0
4244,8786,FIFMPS5FDP-MF,FIFMPS5FDP,,-1.0,1,,NSE,1.0
4245,20219,780HR30-SG,780HR30,,-1.0,100,,NSE,1.0
4246,17585,FISTPIP2GP-MF,FISTPIP2GP,,-1.0,1,,NSE,1.0
4247,22196,726JH27-SG,726JH27,,-1.0,100,,NSE,1.0
4248,1018,68TS50-SG,68TS50,,-1.0,100,,NSE,1.0
